시군구,평수,월세금(만원),건축년도
서울특별시 성동구 응봉동,34.7,170,2003
서울특별시 성동구 응봉동,34.4,0,1986
서울특별시 영등포구 도림동,18.1,0,2000
서울특별시 영등포구 신길동,18.3,0,1984
서울특별시 영등포구 대림동,14.8,0,2022
서울특별시 영등포구 신길동,3.9,0,2012
서울특별시 영등포구 대림동,15.0,120,2022
서울특별시 동작구 상도동,18.0,190,2018
서울특별시 마포구 도화동,15.1,0,2004
서울특별시 마포구 성산동,15.1,0,1986
서울특별시 마포구 도화동,25.7,0,1997
서울특별시 마포구 성산동,18.0,0,1986
서울특별시 송파구 가락동,18.1,0,2018
서울특별시 강동구 상일동,18.1,0,2021
서울특별시 강동구 길동,7.9,0,2021
서울특별시 강동구 상일동,18.1,0,2021
서울특별시 송파구 가락동,25.7,0,2018
서울특별시 송파구 문정동,25.6,0,1988
서울특별시 송파구 거여동,12.0,110,1997
서울특별시 송파구 장지동,18.0,0,2013
서울특별시 송파구 마천동,25.6,0,2001
서울특별시 강동구 암사동,25.7,90,2008
서울특별시 송파구 가락동,18.1,0,1997
서울특별시 강동구 암사동,33.9,0,2008
서울특별시 강동구 암사동,34.6,0,2000
서울특별시 강동구 상일동,25.7,0,2020
서울특별시 강동구 상일동,25.7,0,2011
서울특별시 강동구 상일동,18.1,0,2019
서울특별시 강동구 상일동,18.1,0,2018
서울특별시 송파구 장지동,15.7,0,2013
서울특별시 강동구 성내동,20.3,0,2002
서울특별시 강동구 길동,17.3,130,1994
서울특별시 강동구 길동,4.3,35,2019
서울특별시 송파구 장지동,27.5,0,2016
서울특별시 송파구 문정동,25.7,70,1984
서울특별시 강동구 고덕동,18.0,0,2016
서울특별시 강동구 고덕동,18.1,0,2016
서울특별시 강동구 고덕동,25.7,320,2016
서울특별시 강동구 암사동,25.7,0,2008
서울특별시 송파구 장지동,15.7,0,2013
서울특별시 송파구 가락동,30.1,240,2018
서울특별시 성동구 행당동,25.7,160,2000
서울특별시 광진구 자양동,12.2,0,2021
서울특별시 중구 만리동2가,18.1,0,2017
서울특별시 중구 만리동2가,18.1,165,2017
서울특별시 성동구 마장동,25.7,0,1998
서울특별시 성동구 응봉동,24.1,0,1990
서울특별시 성동구 응봉동,18.1,0,1990
서울특별시 광진구 자양동,25.6,12,1992
서울특별시 용산구 이촌동,18.1,240,1998
서울특별시 성동구 행당동,25.6,160,2000
서울특별시 성동구 응봉동,22.8,0,1986
서울특별시 광진구 구의동,25.6,0,2010
서울특별시 중구 신당동,24.9,0,2003
서울특별시 성동구 행당동,18.1,0,2000
서울특별시 성동구 행당동,18.1,0,2000
서울특별시 용산구 신계동,25.7,120,2011
서울특별시 성동구 하왕십리동,18.0,180,2016
서울특별시 성동구 금호동3가,18.1,165,2005
서울특별시 광진구 광장동,25.6,0,1989
서울특별시 광진구 광장동,25.7,0,1995
서울특별시 성동구 하왕십리동,18.1,0,2001
서울특별시 성동구 하왕십리동,34.6,0,1996
서울특별시 노원구 월계동,22.9,50,2002
서울특별시 성북구 길음동,18.1,0,1998
서울특별시 노원구 하계동,12.1,0,1989
서울특별시 노원구 하계동,25.6,135,1997
서울특별시 성북구 장위동,18.1,0,2001
서울특별시 성북구 장위동,25.7,0,2020
서울특별시 성북구 종암동,18.1,0,2004
서울특별시 성북구 장위동,25.6,0,2022
서울특별시 성북구 하월곡동,4.7,65,2013
서울특별시 도봉구 창동,20.1,0,1990
서울특별시 성북구 석관동,18.1,120,1999
서울특별시 강북구 미아동,25.7,200,2010
서울특별시 강북구 미아동,25.6,0,2003
서울특별시 강서구 방화동,12.0,0,1994
서울특별시 강서구 마곡동,25.7,210,2017
서울특별시 강서구 마곡동,25.6,0,2003
서울특별시 금천구 독산동,18.0,80,2019
서울특별시 강서구 마곡동,25.7,0,2021
서울특별시 구로구 구로동,25.7,150,1989
서울특별시 구로구 구로동,18.0,0,1998
서울특별시 구로구 구로동,25.7,0,2000
서울특별시 강서구 방화동,12.0,0,1994
서울특별시 구로구 고척동,25.7,0,2003
서울특별시 강서구 화곡동,25.7,0,2015
서울특별시 영등포구 영등포동,24.1,0,2002
서울특별시 영등포구 영등포동,18.1,40,2002
서울특별시 영등포구 영등포동,9.2,0,2021
서울특별시 강서구 가양동,15.0,0,1993
서울특별시 구로구 천왕동,25.7,0,2011
서울특별시 영등포구 영등포동7가,25.6,0,2017
서울특별시 영등포구 영등포동7가,25.6,0,2017
서울특별시 영등포구 영등포동7가,9.1,0,2018
서울특별시 구로구 항동,25.7,0,2019
서울특별시 서대문구 홍제동,18.1,200,2024
서울특별시 노원구 상계동,25.7,0,1999
서울특별시 서대문구 냉천동,18.1,100,2011
서울특별시 노원구 상계동,18.3,0,1987
서울특별시 노원구 상계동,11.5,60,1988
서울특별시 노원구 상계동,17.5,50,1988
서울특별시 노원구 상계동,17.5,0,1988
서울특별시 노원구 상계동,12.5,70,1988
서울특별시 노원구 상계동,12.5,0,1988
서울특별시 노원구 상계동,12.5,35,1988
서울특별시 은평구 응암동,18.1,0,2021
서울특별시 은평구 응암동,18.1,0,2020
서울특별시 서대문구 홍은동,17.7,85,1990
서울특별시 노원구 중계동,17.9,140,1991
서울특별시 노원구 중계동,13.3,85,1993
서울특별시 노원구 중계동,34.6,0,1993
서울특별시 은평구 수색동,25.7,0,2023
서울특별시 은평구 진관동,18.1,0,2009
서울특별시 은평구 진관동,25.7,0,2010
서울특별시 은평구 수색동,18.1,0,2021
서울특별시 은평구 수색동,25.7,0,2023
서울특별시 은평구 수색동,18.1,0,2023
서울특별시 은평구 진관동,25.6,0,2009
서울특별시 은평구 대조동,18.0,0,1997
서울특별시 서대문구 홍제동,25.7,0,2024
서울특별시 은평구 불광동,18.1,0,2011
서울특별시 은평구 불광동,25.7,0,2011
서울특별시 은평구 녹번동,25.7,0,2019
서울특별시 서대문구 북아현동,18.1,160,2018
서울특별시 은평구 녹번동,18.1,0,2019
서울특별시 서대문구 홍제동,18.1,0,2000
서울특별시 종로구 평동,25.7,0,2017
서울특별시 종로구 평동,25.6,100,2017
서울특별시 중구 인현동2가,8.6,20,2023
서울특별시 강남구 자곡동,22.6,0,2015
서울특별시 강남구 자곡동,18.1,0,2014
서울특별시 강남구 자곡동,22.7,160,2014
서울특별시 성동구 옥수동,25.6,0,2012
서울특별시 강남구 도곡동,25.7,0,1995
서울특별시 강남구 논현동,20.5,280,2005
서울특별시 성동구 옥수동,18.1,100,2016
서울특별시 강남구 역삼동,18.1,0,2006
서울특별시 강남구 개포동,25.6,307,2023
서울특별시 강남구 개포동,25.7,500,2020
서울특별시 강남구 개포동,29.3,260,2020
서울특별시 강남구 청담동,25.7,150,1988
서울특별시 강남구 개포동,32.7,0,2021
서울특별시 강남구 대치동,49.9,0,2004
서울특별시 강남구 역삼동,25.7,460,2008
서울특별시 강남구 역삼동,8.5,142,2006
서울특별시 성동구 옥수동,18.1,250,1999
서울특별시 종로구 창신동,25.7,0,1999
서울특별시 종로구 무악동,34.8,0,2008
서울특별시 강남구 도곡동,18.1,0,2006
서울특별시 강남구 삼성동,18.1,157,1998
서울특별시 강남구 수서동,10.4,125,1993
서울특별시 강남구 수서동,18.1,160,1992
서울특별시 강남구 수서동,14.9,120,1992
서울특별시 서초구 내곡동,30.6,0,2014
서울특별시 송파구 풍납동,18.1,0,2019
서울특별시 송파구 풍납동,25.7,0,2008
서울특별시 서초구 서초동,6.4,0,2012
서울특별시 서초구 잠원동,31.9,20,1979
서울특별시 서초구 서초동,6.2,0,2014
서울특별시 서초구 서초동,25.7,320,2017
서울특별시 서초구 잠원동,33.2,240,1982
서울특별시 서초구 반포동,25.7,0,2018
서울특별시 서초구 서초동,38.1,0,2005
서울특별시 송파구 잠실동,18.1,355,2006
서울특별시 송파구 잠실동,25.7,110,2007
서울특별시 송파구 잠실동,25.7,0,2007
서울특별시 송파구 잠실동,23.1,0,1978
서울특별시 송파구 잠실동,25.7,0,2008
서울특별시 서초구 서초동,13.4,125,2003
서울특별시 관악구 신림동,17.7,80,2000
서울특별시 서초구 우면동,25.7,120,1995
서울특별시 서초구 우면동,22.7,0,2012
서울특별시 송파구 신천동,25.6,0,2008
서울특별시 송파구 신천동,10.7,10,2008
서울특별시 송파구 신천동,29.9,0,1979
서울특별시 관악구 신림동,25.7,0,2008
서울특별시 강동구 강일동,25.6,0,2009
서울특별시 강동구 강일동,25.6,0,2009
서울특별시 강동구 천호동,34.7,250,1997
서울특별시 양천구 신정동,34.4,0,2016
서울특별시 양천구 신정동,25.6,175,2011
서울특별시 양천구 신정동,25.7,0,1995
서울특별시 양천구 신정동,25.7,0,1992
서울특별시 강서구 등촌동,15.2,0,2022
서울특별시 서대문구 남가좌동,18.1,210,2015
서울특별시 마포구 공덕동,25.7,160,2018
서울특별시 마포구 신정동,18.1,0,1999
서울특별시 강서구 등촌동,12.7,0,1995
서울특별시 마포구 아현동,25.7,0,2015
서울특별시 마포구 아현동,25.6,0,2014
서울특별시 강서구 염창동,25.7,0,2009
서울특별시 마포구 성산동,15.3,84,1986
서울특별시 양천구 목동,25.6,0,1997
서울특별시 양천구 목동,25.7,0,2003
서울특별시 양천구 목동,28.7,0,1986
서울특별시 양천구 목동,20.1,0,1986
서울특별시 양천구 목동,25.7,90,1994
서울특별시 마포구 용강동,18.1,340,2016
서울특별시 마포구 염리동,25.7,400,2021
서울특별시 마포구 염리동,18.1,320,2022
서울특별시 양천구 신월동,15.3,0,1988
서울특별시 양천구 신월동,25.6,0,2006
서울특별시 양천구 신월동,25.7,0,2014
서울특별시 양천구 신정동,25.7,0,2021
서울특별시 양천구 신정동,25.7,40,2019
서울특별시 강서구 등촌동,12.7,95,1995
서울특별시 마포구 연남동,25.7,0,2003
서울특별시 관악구 봉천동,18.1,0,2003
서울특별시 영등포구 당산동3가,22.3,180,1986
서울특별시 관악구 봉천동,5.2,57,2013
서울특별시 동작구 노량진동,9.9,57,2024
서울특별시 영등포구 양평동5가,25.7,0,1996
서울특별시 영등포구 문래동6가,12.4,0,1987
